<table width="95%"  border="0" align="center" cellpadding="0" cellspacing="0">
  <tr>
    <td width="16" align="left" valign="top" class="head-tl"><img src="/~umweb/images/analog/headcap_tl.gif" width="16" height="13"></td>
    <td rowspan="3" align="right" valign="middle" class="head-icon"><img src="/~umweb/images/analog/log_icon.gif" width="93" height="68"></td>
    <td rowspan="2" align="center" valign="bottom" class="head-title"><img src="/~umweb/images/analog/logtitle.gif" width="420" height="49"></td>
    <td width="16" align="right" valign="top" class="head-tl"><img src="/~umweb/images/analog/headcap_tr.gif" width="16" height="13"></td>
  </tr>
  <tr>
    <td width="16" rowspan="2" align="left" valign="bottom" class="head-br"><img src="/~umweb/images/analog/headcap_bl.gif" width="16" height="13" align="absbottom"></td>
    <td width="16" rowspan="2" align="right" valign="bottom" class="head-br"><img src="/~umweb/images/analog/headcap_br.gif" width="16" height="13" align="absbottom"></td>
  </tr>
  <tr>
    <td align="center" valign="middle" class="head-text">
    Web Server Statistics for <a href="http://www-personal.umich.edu/~hnarayan/">"Harish Narayanan (hnarayan) - March 2006"</a><br>
    Report generated by <a href="http://www.analog.cx/">Analog 6.0</a> and <a href="http://www.reportmagic.org/">Report Magic 2.21</a></a>
    </td>
  </tr>
</table>

x	VE	analog 6.0
x	HN	Harish Narayanan (hnarayan) - March 2006
x	HU	http://www-personal.umich.edu/~hnarayan/
x	PS	2006	04	27	10	40
x	FR	2006	03	01	00	07
x	LR	2006	03	31	23	55
x	SR	14397
x	PR	7847
x	FL	233
x	RR	1596
x	NF	931
x	NH	2231
x	CL	1289
x	UL	62213396
x	BT	552983373
W	RBbr	1759	86142871	15.578	12.218	2006	02	26
W	RBbr	2893	123744533	22.378	20.094	2006	03	05
W	RBbr	3407	134719943	24.362	23.665	2006	03	12
W	RBbr	3158	97104101	17.560	21.935	2006	03	19
W	RBbr	3180	111271925	20.122	22.088	2006	03	26
W	*BT	P	1871	2006	03	19
d	RBbr	1994	48838770	8.832	13.850	Sun
d	RBbr	1666	64788519	11.716	11.572	Mon
d	RBbr	1699	67432734	12.194	11.801	Tue
d	RBbr	2346	91878894	16.615	16.295	Wed
d	RBbr	2749	115689167	20.921	19.094	Thu
d	RBbr	2152	85812108	15.518	14.948	Fri
d	RBbr	1791	78543181	14.204	12.440	Sat
D	RBbr	623	29735951	5.377	4.327	2006	03	01
D	RBbr	454	27035635	4.889	3.153	2006	03	02
D	RBbr	358	11455505	2.072	2.487	2006	03	03
D	RBbr	324	17915780	3.240	2.250	2006	03	04
D	RBbr	354	8995421	1.627	2.459	2006	03	05
D	RBbr	433	21179872	3.830	3.008	2006	03	06
D	RBbr	372	21189659	3.832	2.584	2006	03	07
D	RBbr	426	13901039	2.514	2.959	2006	03	08
D	RBbr	455	21570134	3.901	3.160	2006	03	09
D	RBbr	424	17817980	3.222	2.945	2006	03	10
D	RBbr	429	19090428	3.452	2.980	2006	03	11
D	RBbr	307	11932904	2.158	2.132	2006	03	12
D	RBbr	349	10323912	1.867	2.424	2006	03	13
D	RBbr	472	18366626	3.321	3.278	2006	03	14
D	RBbr	451	18228849	3.296	3.133	2006	03	15
D	RBbr	679	24901888	4.503	4.716	2006	03	16
D	RBbr	567	34733401	6.281	3.938	2006	03	17
D	RBbr	582	16232363	2.935	4.043	2006	03	18
D	RBbr	391	8729705	1.579	2.716	2006	03	19
D	RBbr	413	12479627	2.257	2.869	2006	03	20
D	RBbr	442	9665844	1.748	3.070	2006	03	21
D	RBbr	463	16063256	2.905	3.216	2006	03	22
D	RBbr	542	13408279	2.425	3.765	2006	03	23
D	RBbr	451	11452780	2.071	3.133	2006	03	24
D	RBbr	456	25304610	4.576	3.167	2006	03	25
D	RBbr	942	19180740	3.469	6.543	2006	03	26
D	RBbr	471	20805108	3.762	3.272	2006	03	27
D	RBbr	413	18210605	3.293	2.869	2006	03	28
D	RBbr	383	13949799	2.523	2.660	2006	03	29
D	RBbr	619	28773231	5.203	4.300	2006	03	30
D	RBbr	352	10352442	1.872	2.445	2006	03	31
D	*BT	P	726	2006	03	26
h	RBbr	581	25632862	4.635	4.036	00
h	RBbr	551	22897286	4.141	3.827	01
h	RBbr	1156	29869465	5.402	8.029	02
h	RBbr	478	14795236	2.676	3.320	03
h	RBbr	425	11268164	2.038	2.952	04
h	RBbr	474	10853797	1.963	3.292	05
h	RBbr	389	16113707	2.914	2.702	06
h	RBbr	568	16223340	2.934	3.945	07
h	RBbr	556	14769008	2.671	3.862	08
h	RBbr	554	15703527	2.840	3.848	09
h	RBbr	727	27903025	5.046	5.050	10
h	RBbr	763	29203627	5.281	5.300	11
h	RBbr	651	20920865	3.783	4.522	12
h	RBbr	601	20565795	3.719	4.174	13
h	RBbr	714	33913808	6.133	4.959	14
h	RBbr	656	28452561	5.145	4.557	15
h	RBbr	647	27357620	4.947	4.494	16
h	RBbr	642	27695756	5.008	4.459	17
h	RBbr	646	28509558	5.156	4.487	18
h	RBbr	599	32091072	5.803	4.161	19
h	RBbr	476	26159886	4.731	3.306	20
h	RBbr	489	19552811	3.536	3.397	21
h	RBbr	536	23887451	4.320	3.723	22
h	RBbr	518	28643146	5.180	3.598	23
o	*f	1R	r
o	lRBbr	1	6161	140312027	25.374	42.794	.com (Commercial)
o	lRBbr	2	46	2790997	0.505	0.320	aol.com (America Online)
o	lRBbr	1	3516	198938313	35.975	24.422	.net (Networks)
o	lRBbr	1	1509	66788196	12.078	10.481	[unresolved numerical addresses]
o	lRBbr	1	1157	56100129	10.145	8.036	.edu (US Higher Education)
o	lRBbr	2	362	16722627	3.024	2.514	umich.edu
o	lRBbr	3	285	14430752	2.610	1.980	engin.umich.edu
o	lRBbr	2	48	5863176	1.060	0.333	uiowa.edu
o	lRBbr	1	296	9816717	1.775	2.056	.ca (Canada)
o	lRBbr	1	243	9514043	1.720	1.688	.nl (Netherlands)
o	lRBbr	1	191	5768709	1.043	1.327	.in (India)
o	lRBbr	1	170	5154975	0.932	1.181	.mx (Mexico)
o	lRBbr	1	139	11858695	2.144	0.965	.de (Germany)
o	lRBbr	1	104	5211662	0.942	0.722	.uk (United Kingdom)
o	lRBbr	1	76	8613563	1.558	0.528	.fr (France)
o	lRBbr	1	69	940562	0.170	0.479	.ch (Switzerland)
o	lRBbr	1	68	1562951	0.283	0.472	.org (Non Profit Making Organizations)
o	lRBbr	1	64	1699919	0.307	0.445	.be (Belgium)
o	lRBbr	1	47	3313706	0.599	0.326	.cz (Czech Republic)
o	lRBbr	1	44	447936	0.081	0.306	.au (Australia)
o	lRBbr	1	34	3757432	0.679	0.236	.it (Italy)
o	lRBbr	1	32	638444	0.115	0.222	.at (Austria)
o	lRBbr	1	31	1472417	0.266	0.215	.dk (Denmark)
o	lRBbr	1	31	1082446	0.196	0.215	.th (Thailand)
o	lRBbr	1	31	845307	0.153	0.215	.ge (Georgia)
o	lRBbr	1	30	395625	0.072	0.208	.fi (Finland)
o	lRBbr	1	29	850008	0.154	0.201	.ee (Estonia)
o	lRBbr	1	25	990700	0.179	0.174	.pl (Poland)
o	lRBbr	1	25	934888	0.169	0.174	.gov (US Government)
o	lRBbr	1	24	223702	0.040	0.167	.br (Brazil)
o	lRBbr	1	23	228298	0.041	0.160	[domain not given]
o	lRBbr	1	21	597912	0.108	0.146	.nz (New Zealand)
o	lRBbr	1	20	772821	0.140	0.139	.tr (Turkey)
o	lRBbr	1	19	183721	0.033	0.132	.my (Malaysia)
o	lRBbr	1	18	926832	0.168	0.125	.mil (US Military)
o	lRBbr	1	15	3039555	0.550	0.104	.hu (Hungary)
o	lRBbr	1	14	375741	0.068	0.097	.se (Sweden)
o	lRBbr	1	12	716248	0.130	0.083	.info (Informational)
o	lRBbr	1	12	578276	0.105	0.083	.ph (Philippines)
o	lRBbr	1	12	2854828	0.516	0.083	.no (Norway)
o	lRBbr	1	8	1141008	0.206	0.056	.jp (Japan)
o	lRBbr	1	8	67718	0.012	0.056	.ie (Ireland)
o	lRBbr	1	7	50559	0.009	0.049	.sg (Singapore)
o	lRBbr	1	7	415104	0.075	0.049	.kr (South Korea)
o	lRBbr	1	5	44160	0.008	0.035	.lu (Luxembourg)
o	lRBbr	1	4	79413	0.014	0.028	[unknown domain]
o	lRBbr	1	4	30632	0.006	0.028	.arpa (Arpanet)
o	lRBbr	1	4	2735527	0.495	0.028	.hk (Hong Kong)
o	lRBbr	1	4	81236	0.015	0.028	.es (Spain)
o	lRBbr	1	4	85622	0.015	0.028	.gr (Greece)
o	lRBbr	1	3	77973	0.014	0.021	.pe (Peru)
o	lRBbr	1	3	28949	0.005	0.021	.ro (Romania)
o	lRBbr	1	3	400884	0.072	0.021	.ru (Russia)
o	lRBbr	1	3	25851	0.005	0.021	.sa (Saudi Arabia)
o	lRBbr	1	3	2631	0.000	0.021	.cr (Costa Rica)
o	lRBbr	1	2	21673	0.004	0.014	.za (South Africa)
o	lRBbr	1	2	15275	0.003	0.014	.lv (Latvia)
o	lRBbr	1	2	15275	0.003	0.014	.pt (Portugal)
o	lRBbr	1	2	125500	0.023	0.014	.biz (Businesses)
o	lRBbr	1	2	15316	0.003	0.014	.id (Indonesia)
o	lRBbr	1	2	9366	0.002	0.014	.md (Moldova)
o	lRBbr	1	1	4349	0.001	0.007	.us (United States)
o	lRBbr	1	1	172	0.000	0.007	.bm (Bermuda)
o	lRBbr	1	1	1876	0.000	0.007	.co (Colombia)
S	*f	1R	r
S	RBbr	534	20846244	3.770	3.709	c-68-85-177-4.hsd1.mi.comcast.net
S	RBbr	521	15647453	2.830	3.619	msnbot.msn.com
S	RBbr	514	15481786	2.800	3.570	66-195-77-130.gen.twtelecom.net
S	RBbr	206	7772914	1.406	1.431	crawl-66-249-66-234.googlebot.com
S	RBbr	165	11723366	2.120	1.146	pcp08882696pcs.vnburn01.mi.comcast.net
S	RBbr	155	3541535	0.640	1.077	tohirdhurd.eche.ualberta.ca
S	RBbr	141	1230684	0.223	0.979	81.181.14.18
S	RBbr	108	119974	0.022	0.750	crawl-66-249-66-16.googlebot.com
S	RBbr	95	3642969	0.659	0.660	crawl-66-249-65-206.googlebot.com
S	RBbr	89	4330198	0.783	0.618	sauron.engin.umich.edu
S	RBbr	73	3494661	0.632	0.507	crawl-66-249-65-20.googlebot.com
S	RBbr	73	3958162	0.716	0.507	145.116.early-registration.of.surfnet.nl
